theta= 5039.61176561, alpha= 6368.12627439, l_beta= 9877.99025189, h_beta= 3404.87476886, gamma= 1203.27156575
theta= 26182.4851806, alpha= 3061.92403456, l_beta= 1288.04778842, h_beta= 1556.79392024, gamma= 1474.36982882
theta= 22152.4915883, alpha= 6383.62620496, l_beta= 2579.62193535, h_beta= 2214.49435356, gamma= 578.467817102
theta= 20500.2600851, alpha= 4999.00453969, l_beta= 2249.02199223, h_beta= 2360.95778531, gamma= 1217.84262753
theta= 113388.230357, alpha= 45453.8280465, l_beta= 7692.37756812, h_beta= 11718.3850659, gamma= 6412.34903286
theta= 5039.61176561, alpha= 6368.12627439, l_beta= 9877.99025189, h_beta= 3404.87476886, gamma= 1203.27156575
theta= 26182.4851806, alpha= 3061.92403456, l_beta= 1288.04778842, h_beta= 1556.79392024, gamma= 1474.36982882
theta= 22152.4915883, alpha= 6383.62620496, l_beta= 2579.62193535, h_beta= 2214.49435356, gamma= 578.467817102
theta= 20500.2600851, alpha= 4999.00453969, l_beta= 2249.02199223, h_beta= 2360.95778531, gamma= 1217.84262753
theta= 113388.230357, alpha= 45453.8280465, l_beta= 7692.37756812, h_beta= 11718.3850659, gamma= 6412.34903286
theta= 5039.61176561, alpha= 6368.12627439, l_beta= 9877.99025189, h_beta= 3404.87476886, gamma= 1203.27156575
theta= 26182.4851806, alpha= 3061.92403456, l_beta= 1288.04778842, h_beta= 1556.79392024, gamma= 1474.36982882
theta= 22152.4915883, alpha= 6383.62620496, l_beta= 2579.62193535, h_beta= 2214.49435356, gamma= 578.467817102
theta= 20500.2600851, alpha= 4999.00453969, l_beta= 2249.02199223, h_beta= 2360.95778531, gamma= 1217.84262753
theta= 113388.230357, alpha= 45453.8280465, l_beta= 7692.37756812, h_beta= 11718.3850659, gamma= 6412.34903286
theta= 5068.40932697, alpha= 5587.30102958, l_beta= 9058.34255284, h_beta= 3180.28353125, gamma= 1274.54416255
theta= 24289.8302395, alpha= 2433.81862573, l_beta= 1518.83440819, h_beta= 1544.25049768, gamma= 2807.53941005
theta= 21937.9095423, alpha= 6783.42802138, l_beta= 5362.78956737, h_beta= 4852.60737856, gamma= 870.004321193
theta= 24958.3466706, alpha= 5149.86453865, l_beta= 5959.89610667, h_beta= 4420.2917708, gamma= 2474.3631044
theta= 69160.1725619, alpha= 30454.4828268, l_beta= 12273.2377266, h_beta= 12616.7910205, gamma= 8314.30089506
theta= 5068.40932697, alpha= 5587.30102958, l_beta= 9058.34255284, h_beta= 3180.28353125, gamma= 1274.54416255
theta= 24289.8302395, alpha= 2433.81862573, l_beta= 1518.83440819, h_beta= 1544.25049768, gamma= 2807.53941005
theta= 21937.9095423, alpha= 6783.42802138, l_beta= 5362.78956737, h_beta= 4852.60737856, gamma= 870.004321193
theta= 24958.3466706, alpha= 5149.86453865, l_beta= 5959.89610667, h_beta= 4420.2917708, gamma= 2474.3631044
theta= 69160.1725619, alpha= 30454.4828268, l_beta= 12273.2377266, h_beta= 12616.7910205, gamma= 8314.30089506
theta= 5068.40932697, alpha= 5587.30102958, l_beta= 9058.34255284, h_beta= 3180.28353125, gamma= 1274.54416255
theta= 24289.8302395, alpha= 2433.81862573, l_beta= 1518.83440819, h_beta= 1544.25049768, gamma= 2807.53941005
theta= 21937.9095423, alpha= 6783.42802138, l_beta= 5362.78956737, h_beta= 4852.60737856, gamma= 870.004321193
theta= 24958.3466706, alpha= 5149.86453865, l_beta= 5959.89610667, h_beta= 4420.2917708, gamma= 2474.3631044
theta= 69160.1725619, alpha= 30454.4828268, l_beta= 12273.2377266, h_beta= 12616.7910205, gamma= 8314.30089506
theta= 5068.40932697, alpha= 5587.30102958, l_beta= 9058.34255284, h_beta= 3180.28353125, gamma= 1274.54416255
theta= 24289.8302395, alpha= 2433.81862573, l_beta= 1518.83440819, h_beta= 1544.25049768, gamma= 2807.53941005
theta= 21937.9095423, alpha= 6783.42802138, l_beta= 5362.78956737, h_beta= 4852.60737856, gamma= 870.004321193
theta= 24958.3466706, alpha= 5149.86453865, l_beta= 5959.89610667, h_beta= 4420.2917708, gamma= 2474.3631044
theta= 69160.1725619, alpha= 30454.4828268, l_beta= 12273.2377266, h_beta= 12616.7910205, gamma= 8314.30089506
theta= 29809.0887972, alpha= 12089.9978745, l_beta= 9227.40126187, h_beta= 1119.15813833, gamma= 637.803314018
theta= 20958.2058942, alpha= 3106.62090087, l_beta= 1491.66808969, h_beta= 884.724298175, gamma= 1559.62978525
theta= 19327.6476989, alpha= 4956.47884511, l_beta= 9223.01184727, h_beta= 3986.89166927, gamma= 724.816294374
theta= 20133.5724224, alpha= 4354.04010199, l_beta= 4304.18790409, h_beta= 1700.11262822, gamma= 1479.55736629
theta= 23266.2542086, alpha= 33237.7222842, l_beta= 13559.8012277, h_beta= 4086.37421515, gamma= 2559.9102754
theta= 29809.0887972, alpha= 12089.9978745, l_beta= 9227.40126187, h_beta= 1119.15813833, gamma= 637.803314018
theta= 20958.2058942, alpha= 3106.62090087, l_beta= 1491.66808969, h_beta= 884.724298175, gamma= 1559.62978525
theta= 19327.6476989, alpha= 4956.47884511, l_beta= 9223.01184727, h_beta= 3986.89166927, gamma= 724.816294374
theta= 20133.5724224, alpha= 4354.04010199, l_beta= 4304.18790409, h_beta= 1700.11262822, gamma= 1479.55736629
